start_ts,weather_conditions,duration_seconds
11/11/2017 12:00,Good,1794
11/11/2017 15:00,Good,2700
11/11/2017 8:00,Good,1320
4/11/2017 10:00,Good,1620
4/11/2017 14:00,Good,3460
4/11/2017 16:00,Bad,3000
4/11/2017 16:00,Bad,3300
4/11/2017 12:00,Good,2760
11/11/2017 14:00,Good,2340
25/11/2017 14:00,Good,6420
11/11/2017 10:00,Good,1200
25/11/2017 18:00,Good,2345
4/11/2017 20:00,Good,1860
11/11/2017 12:00,Good,1620
11/11/2017 8:00,Good,1740
4/11/2017 16:00,Bad,3540
4/11/2017 8:00,Good,1260
11/11/2017 4:00,Good,1140
18/11/2017 7:00,Bad,1200
4/11/2017 6:00,Good,1472
11/11/2017 6:00,Good,1280
18/11/2017 12:00,Bad,2877
11/11/2017 10:00,Good,1412
25/11/2017 8:00,Good,1260
4/11/2017 6:00,Good,1260
11/11/2017 15:00,Good,2196
18/11/2017 14:00,Good,3480
11/11/2017 14:00,Good,2400
18/11/2017 7:00,Bad,1608
25/11/2017 16:00,Good,2091
4/11/2017 18:00,Bad,2332
11/11/2017 14:00,Good,2100
11/11/2017 12:00,Good,1980
25/11/2017 16:00,Good,2203
11/11/2017 14:00,Good,2040
18/11/2017 18:00,Good,2460
11/11/2017 13:00,Good,4380
25/11/2017 23:00,Good,1500
11/11/2017 18:00,Good,2675
4/11/2017 13:00,Good,2640
18/11/2017 10:00,Bad,2333
18/11/2017 14:00,Good,3172
4/11/2017 17:00,Bad,2340
11/11/2017 10:00,Good,1516
4/11/2017 14:00,Good,3840
4/11/2017 8:00,Good,1260
11/11/2017 6:00,Good,1440
11/11/2017 8:00,Good,1260
18/11/2017 12:00,Bad,2700
18/11/2017 5:00,Good,1320
11/11/2017 7:00,Good,1355
11/11/2017 10:00,Good,1465
11/11/2017 12:00,Good,1933
11/11/2017 15:00,Good,2010
4/11/2017 8:00,Good,1740
11/11/2017 9:00,Good,1620
11/11/2017 10:00,Good,1260
11/11/2017 13:00,Good,2040
4/11/2017 15:00,Good,3300
11/11/2017 10:00,Good,1380
4/11/2017 9:00,Good,1594
11/11/2017 13:00,Good,2256
18/11/2017 17:00,Bad,3022
4/11/2017 12:00,Good,3540
4/11/2017 17:00,Bad,2580
4/11/2017 14:00,Good,3840
4/11/2017 16:00,Bad,2765
11/11/2017 15:00,Good,2540
4/11/2017 16:00,Bad,3058
11/11/2017 16:00,Good,2400
11/11/2017 16:00,Good,2400
4/11/2017 6:00,Good,1267
4/11/2017 6:00,Good,1267
4/11/2017 17:00,Bad,2151
4/11/2017 17:00,Bad,2151
4/11/2017 10:00,Good,2550
11/11/2017 9:00,Good,1260
11/11/2017 6:00,Good,1320
11/11/2017 16:00,Good,2640
11/11/2017 11:00,Good,1440
25/11/2017 17:00,Good,2700
18/11/2017 15:00,Good,2880
4/11/2017 21:00,Good,1800
4/11/2017 12:00,Good,2580
4/11/2017 16:00,Bad,3420
11/11/2017 6:00,Good,1500
4/11/2017 18:00,Bad,2172
11/11/2017 10:00,Good,1560
11/11/2017 10:00,Good,1920
18/11/2017 12:00,Bad,2640
18/11/2017 12:00,Bad,2640
11/11/2017 14:00,Good,2460
11/11/2017 7:00,Good,1260
4/11/2017 15:00,Good,3360
4/11/2017 19:00,Good,2400
4/11/2017 10:00,Good,1680
4/11/2017 12:00,Good,2880
4/11/2017 11:00,Good,2963
18/11/2017 11:00,Good,2178
4/11/2017 11:00,Good,2963
18/11/2017 14:00,Good,3540
11/11/2017 17:00,Good,2475
4/11/2017 12:00,Good,2575
11/11/2017 8:00,Good,1063
11/11/2017 12:00,Good,1747
18/11/2017 8:00,Bad,1417
18/11/2017 12:00,Bad,2175
18/11/2017 10:00,Bad,1560
4/11/2017 20:00,Good,2220
18/11/2017 12:00,Bad,3600
11/11/2017 10:00,Good,1200
25/11/2017 15:00,Good,2356
4/11/2017 9:00,Good,1934
4/11/2017 11:00,Good,2155
11/11/2017 11:00,Good,1211
11/11/2017 6:00,Good,1260
4/11/2017 15:00,Good,3214
11/11/2017 13:00,Good,2693
4/11/2017 15:00,Good,3335
18/11/2017 18:00,Good,2520
11/11/2017 13:00,Good,2280
11/11/2017 11:00,Good,1683
18/11/2017 13:00,Bad,3120
11/11/2017 10:00,Good,1466
25/11/2017 14:00,Good,1828
4/11/2017 10:00,Good,2522
4/11/2017 14:00,Good,2948
25/11/2017 10:00,Good,1080
25/11/2017 18:00,Good,2493
4/11/2017 19:00,Good,2460
11/11/2017 16:00,Good,2220
4/11/2017 4:00,Good,1595
18/11/2017 12:00,Bad,2340
18/11/2017 7:00,Bad,1182
18/11/2017 6:00,Good,1566
18/11/2017 8:00,Bad,1332
4/11/2017 16:00,Bad,3180
4/11/2017 18:00,Bad,2220
4/11/2017 9:00,Good,1843
25/11/2017 13:00,Good,1737
18/11/2017 13:00,Bad,3420
11/11/2017 6:00,Good,1586
4/11/2017 6:00,Good,1532
4/11/2017 16:00,Bad,2820
18/11/2017 15:00,Good,3240
11/11/2017 14:00,Good,2400
11/11/2017 17:00,Good,3180
11/11/2017 11:00,Good,1620
25/11/2017 15:00,Good,2195
11/11/2017 16:00,Good,2040
4/11/2017 14:00,Good,3300
4/11/2017 17:00,Bad,2760
11/11/2017 16:00,Good,2400
11/11/2017 6:00,Good,1320
11/11/2017 7:00,Good,1440
11/11/2017 12:00,Good,1620
11/11/2017 6:00,Good,1095
4/11/2017 12:00,Good,2929
11/11/2017 16:00,Good,2310
11/11/2017 8:00,Good,1364
4/11/2017 8:00,Good,1299
11/11/2017 8:00,Good,1200
18/11/2017 8:00,Bad,1260
11/11/2017 11:00,Good,2032
11/11/2017 9:00,Good,1316
18/11/2017 7:00,Bad,1454
11/11/2017 12:00,Good,1909
11/11/2017 9:00,Good,1494
11/11/2017 10:00,Good,1529
11/11/2017 16:00,Good,2548
18/11/2017 21:00,Bad,1748
11/11/2017 12:00,Good,1993
11/11/2017 16:00,Good,2400
4/11/2017 17:00,Bad,2280
11/11/2017 17:00,Good,2089
25/11/2017 12:00,Good,1646
11/11/2017 14:00,Good,1980
4/11/2017 8:00,Good,1406
18/11/2017 13:00,Bad,3779
4/11/2017 15:00,Good,3366
4/11/2017 15:00,Good,3180
4/11/2017 4:00,Good,1260
11/11/2017 9:00,Good,1260
4/11/2017 18:00,Bad,3060
11/11/2017 7:00,Good,1380
11/11/2017 14:00,Good,2220
4/11/2017 14:00,Good,3000
11/11/2017 7:00,Good,1395
4/11/2017 14:00,Good,3982
4/11/2017 11:00,Good,2657
11/11/2017 15:00,Good,2454
4/11/2017 9:00,Good,0
4/11/2017 14:00,Good,3300
4/11/2017 7:00,Good,1427
11/11/2017 6:00,Good,1436
11/11/2017 16:00,Good,2205
11/11/2017 9:00,Good,1359
18/11/2017 10:00,Bad,2083
18/11/2017 11:00,Good,2312
4/11/2017 17:00,Bad,2472
4/11/2017 17:00,Bad,2580
